Model,FoldIndex,Retrained,TargetShift,PeriodStart,PeriodEnd,TrainWindowStart,TrainWindowEnd,TrainIntervals,TestIntervals,ValidationIntervals,Longs,Shorts,GrossExposure,PeriodReturn
base,0,True,0,2023-11-11,2023-12-08,2021-12-11,2023-11-10,67,15,15,"FTV,PLD,OGN",,0.5797090257207549,0.04280300295040629
meta,0,True,0,2023-11-11,2023-12-08,2021-12-11,2023-11-10,67,15,15,"ICLN,FTV,XLY",,0.8177181643744313,0.05680783941262013
base,1,False,0,2023-12-09,2024-01-05,2021-12-11,2023-12-08,70,15,16,"OGN,BMY,BDX",,1.0,0.11447592344796509
meta,1,False,0,2023-12-09,2024-01-05,2021-12-11,2023-12-08,70,15,16,"GSG,BMY,BDX",,1.0,0.0321099836254648
base,2,False,0,2024-01-06,2024-02-02,2021-12-11,2024-01-05,73,16,16,"VXX,PG,CHTR",,0.9289878172179067,-0.030149776568880626
meta,2,False,0,2024-01-06,2024-02-02,2021-12-11,2024-01-05,73,16,16,"VXX,GSG,PG",,1.0,0.027425752613125187
base,3,True,0,2024-02-03,2024-03-01,2021-12-11,2024-02-02,76,16,17,"BF-B,EWT,EWY",,0.6678284270068013,0.03573642675678412
meta,3,True,0,2024-02-03,2024-03-01,2021-12-11,2024-02-02,76,16,17,"SEGA.L,EWH,EWT",,0.9180846375723684,0.02476838689316785
base,4,False,0,2024-03-02,2024-03-29,2021-12-11,2024-03-01,79,17,17,"CHTR,AVB,COP",,0.5940569316347444,0.03772758711732416
meta,4,False,0,2024-03-02,2024-03-29,2021-12-11,2024-03-01,79,17,17,"CHTR,IEF,SEGA.L",,1.0,0.018819322027410434
base,5,False,0,2024-03-30,2024-04-26,2021-12-11,2024-03-29,81,18,18,"UNH,VXX,VRSK",,0.6738404495020711,-0.0005691796424628359
meta,5,False,0,2024-03-30,2024-04-26,2021-12-11,2024-03-29,81,18,18,"EWH,VRSK,UNH",,1.0,-0.004604330369660348
base,6,True,0,2024-04-27,2024-05-24,2021-12-11,2024-04-26,84,18,19,"V,VRSK,XLK",,0.6987789211173856,0.05028043221858858
meta,6,True,0,2024-04-27,2024-05-24,2021-12-11,2024-04-26,84,18,19,"XLY,XLK,V",,0.8840411777297652,0.017056050197202355
base,7,False,0,2024-05-25,2024-06-21,2021-12-11,2024-05-24,87,19,19,"BDX,XLE,GSG",,0.5610388206938899,0.0008837706538593615
meta,7,False,0,2024-05-25,2024-06-21,2021-12-11,2024-05-24,87,19,19,"BDX,GSG,XLE",,0.7424085649351275,0.0011025279959679946
base,8,False,0,2024-06-22,2024-07-19,2021-12-11,2024-06-21,90,19,20,"AIZ,XLE,CDW",,0.6643977264563239,0.0012104440783766712
meta,8,False,0,2024-06-22,2024-07-19,2021-12-11,2024-06-21,90,19,20,"CDW,AIZ,XLE",,0.8008993727465474,0.0013599656965912477
base,9,True,0,2024-07-20,2024-08-16,2021-12-11,2024-07-19,93,20,20,"XLU,PPL,XLB",,0.5444170969227946,0.023356672173150406
meta,9,True,0,2024-07-20,2024-08-16,2021-12-11,2024-07-19,93,20,20,"SEGA.L,HST,XLB",,0.6299784469107783,-0.011413997312983204
base,10,False,0,2024-08-17,2024-09-13,2021-12-11,2024-08-16,95,21,21,"AMP,IEFM.L,V",,0.6684809985260165,0.018230490790253073
meta,10,False,0,2024-08-17,2024-09-13,2021-12-11,2024-08-16,95,21,21,"AMP,V,GSG",,0.7512647286057472,0.015454200902314419
base,11,False,0,2024-09-14,2024-10-11,2021-12-11,2024-09-13,98,21,22,"CNP,BR,SHY",,0.7141162330905593,0.020654766300930216
meta,11,False,0,2024-09-14,2024-10-11,2021-12-11,2024-09-13,98,21,22,"GSG,SHY,BR",,0.9607919243474805,0.0347974199210479
base,12,True,0,2024-10-12,2024-11-08,2021-12-11,2024-10-11,101,22,22,"XLV,TLT,IEUS",,0.6074906699359417,-0.014603714207463758
meta,12,True,0,2024-10-12,2024-11-08,2021-12-11,2024-10-11,101,22,22,"XLV,ICLN,EWL",,0.8712630470593774,-0.0512327538878774
base,13,False,0,2024-11-09,2024-12-06,2021-12-11,2024-11-08,104,22,23,"EWY,TLT,EWQ",,0.6740402616560459,-0.007541129635846966
meta,13,False,0,2024-11-09,2024-12-06,2021-12-11,2024-11-08,104,22,23,"EWL,EWU,XLP",,0.9612792513022816,0.010314592028323855
base,14,False,0,2024-12-07,2025-01-03,2021-12-11,2024-12-06,107,23,23,"AVY,EWQ,IEUS",,0.6963835097849369,-0.04093422650531331
meta,14,False,0,2024-12-07,2025-01-03,2021-12-11,2024-12-06,107,23,23,"EWG,AEP,IEUS",,0.7811211546262109,-0.031211862933109513
base,15,True,0,2025-01-04,2025-01-31,2022-01-08,2025-01-03,107,23,23,"TLT,BR,ALLE",,0.7320741160462296,0.023298543063403843
