ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
SPY,0.06496,0.19212,0.3914,0.26635,0.08517,0.0025
XLK,0.19604,0.19159,0.17439,0.16207,0.27591,0.0025
XLF,0.14094,0.19189,0.22832,0.19695,0.2419,0.0025
XLV,0.16889,0.19492,0.20095,0.18155,0.25369,0.0025
XLI,0.13965,0.19257,0.22166,0.1944,0.25172,0.0025
XLY,0.18053,0.19126,0.18484,0.17018,0.27319,0.0025
XLP,0.16057,0.19474,0.2057,0.18518,0.25381,0.0025
XLE,0.21462,0.18925,0.16242,0.15456,0.27915,0.0025
XLB,0.14993,0.18866,0.20966,0.18727,0.26448,0.0025
XLC,0.16013,0.19228,0.20354,0.18239,0.26166,0.0025
XLU,0.17574,0.19006,0.19105,0.17468,0.26847,0.0025
XLRE,0.17033,0.1894,0.19365,0.17599,0.27063,0.0025
SH,0.25625,0.1847,0.14311,0.14253,0.27341,0.0025
IAU,0.19362,0.19259,0.1821,0.16852,0.26317,0.0025
